









Frequency of observations in the selected location(s).:
Number of taxa: 	569

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
American Wigeon	0.1132584	0.0819037	0.0851172	0.0679117	0.0597015	0.0615819	0.0712101	0.0997899	0.0964646	0.0639764	0.0445415	0.0264357	0.0269598	0.0173344	0.0228551	0.0130338	0.0065735	0.0098782	0.0110759	0.009182	0.005641	0.0028074	0.0055659	0.0080414	0.0084746	0.0167448	0.0098232	0.0054668	0.008616	0.0159574	0.0153918	0.0214651	0.0733986	0.0842212	0.090989	0.0995441	0.0857673	0.1142074	0.1127168	0.1300534	0.1769608	0.1714596	0.1908517	0.1661592	0.1315068	0.111936	0.0913349	0.0922943	
Eurasian x American Wigeon (hybrid)	0.0013483	5.534E-4	0.0	0.0	0.0	5.65E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022459	0.0030921	0.0040207	0.0014124	6.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.448E-4	0.0	0.0	0.0	0.0	9.137E-4	0.0024085	0.0015256	0.0044118	0.0021704	0.002103	0.0013049	0.0020548	0.0011422	0.0018735	0.0	
Eurasian/American Wigeon	4.494E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.814E-4	0.0	0.0	0.0	4.35E-4	0.0	0.0	0.0	0.0	
Mallard	0.3555056	0.3386829	0.3710499	0.3230051	0.3244646	0.339548	0.3232853	0.3718487	0.3742424	0.386811	0.3532751	0.3424491	0.3745334	0.4044684	0.3797468	0.3668885	0.3349767	0.3429819	0.3815928	0.3784085	0.3887179	0.4115665	0.4230056	0.3549684	0.3764124	0.3958473	0.3929273	0.4041211	0.4566505	0.4638298	0.4650187	0.4303237	0.4190391	0.3658042	0.3608791	0.3525836	0.3166435	0.3389676	0.3309249	0.3325706	0.3921569	0.3760174	0.4095689	0.3910396	0.3767123	0.3923472	0.3859485	0.3630823	
American Black Duck	0.2305618	0.2285556	0.266055	0.2228353	0.2245295	0.1949153	0.197903	0.2531513	0.2247475	0.2175197	0.1930131	0.1665147	0.1530485	0.1483051	0.1220113	0.0926234	0.0788825	0.1180795	0.1247363	0.1424597	0.1502564	0.175744	0.1595547	0.1522114	0.1588983	0.1982585	0.2200393	0.2409588	0.2681745	0.2941489	0.3097015	0.2524702	0.2535587	0.1872146	0.1718681	0.1664134	0.1469634	0.1854728	0.1685934	0.1948894	0.2392157	0.2381986	0.2754995	0.2531535	0.2589041	0.2501428	0.2913349	0.2516326	
Mallard x American Black Duck (hybrid)	0.0157303	0.0132817	0.0117227	0.012309	0.0162232	0.0112994	0.0096112	0.0089286	0.0166667	0.0162402	0.0122271	0.0091158	0.0058067	0.0038521	0.0017581	0.0019412	0.0035607	0.0029864	0.0052743	0.0086255	0.0061538	0.0067378	0.0055659	0.0109133	0.0077684	0.0127261	0.016372	0.0172414	0.0140011	0.012766	0.0125933	0.0088586	0.0080071	0.0081177	0.0083516	0.0034195	0.0088085	0.0105071	0.0052987	0.0087719	0.0117647	0.0070537	0.0194532	0.0100043	0.0164384	0.0159909	0.0206089	0.0130605	
Mallard/American Black Duck	0.0026966	0.0011068	0.0010194	0.0029711	0.0012979	0.0028249	0.0017475	0.0026261	0.0035354	0.0029528	0.0017467	0.002127	0.0024886	0.001926	3.516E-4	0.0011093	0.0019173	0.0022973	0.001846	0.0036171	0.0046154	0.0072993	0.0055659	0.0086157	0.0134181	0.0247823	0.0203012	0.0227082	0.0129241	0.0143617	0.0191231	0.0156729	0.0115658	0.0167428	0.0092308	0.006459	0.0088085	0.0045683	0.0038536	0.0041953	0.0034314	0.002713	0.0057834	0.0026098	0.0041096	0.0051399	0.0018735	0.0021768	
Northern Pintail	0.0521348	0.0376314	0.0433231	0.0309847	0.0382868	0.0248588	0.0454347	0.0609244	0.0479798	0.0442913	0.0292576	0.0206624	0.0136873	0.0107858	0.0063291	0.0019412	8.217E-4	0.002527	0.001846	0.0030607	0.0010256	0.0022459	6.184E-4	0.0011488	7.062E-4	0.0013396	0.005239	0.0016821	0.004308	0.006383	0.0177239	0.0105622	0.0302491	0.042618	0.0373626	0.0505319	0.0449699	0.0511649	0.0568401	0.0705568	0.0823529	0.0808464	0.0988433	0.0743802	0.0732877	0.0462593	0.0496487	0.0430997	
Mallard x Northern Pintail (hybrid)	0.0	0.0	0.0	0.0	6.489E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.568E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green-winged Teal	0.0714607	0.0442723	0.04842	0.070034	0.0584036	0.0621469	0.0703364	0.0992647	0.0818182	0.0900591	0.0899563	0.1011851	0.1041062	0.096302	0.0696203	0.0435385	0.0279376	0.0181484	0.0121308	0.0089037	0.0087179	0.0269512	0.0068027	0.0068926	0.0162429	0.0254521	0.0307793	0.0416316	0.0387722	0.0558511	0.0844216	0.1063032	0.1263345	0.1171994	0.112967	0.1086626	0.0899397	0.1251713	0.1156069	0.1300534	0.1833333	0.1557244	0.181388	0.1365811	0.1212329	0.0919475	0.0782201	0.0574663	
Anas sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.128E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.385E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
